pre_flow,true_flow,src_ids,dst_ids
546.6206,2091.0,11,14
0.25875854,15.0,15,131
-28.749111,38.0,25,50
-58.1913,99.0,3,91
91.06055,30.0,204,214
176.45264,30.0,124,201
183.31497,96.0,63,89
-30.213287,12.0,110,210
53.57538,112.0,4,42
72.89783,15.0,112,118
33.442158,16.0,22,113
20.559412,21.0,64,245
82.85293,102.0,12,244
98.9622,51.0,33,107
74.40495,12.0,161,209
127.52608,159.0,12,33
186.86394,188.0,33,200
-59.67489,13.0,7,68
-3.0434647,16.0,11,137
3.3212738,46.0,112,243
50.639008,29.0,30,31
43.21108,13.0,21,138
102.699684,182.0,18,19
-0.5389862,15.0,53,55
23.979708,27.0,131,138
638.54553,754.0,4,6
6.9647827,13.0,11,113
-1.6721191,28.0,15,144
9.403503,17.0,115,200
50.68081,79.0,23,107
1133.5178,860.0,12,205
1325.7859,1074.0,1,132
16.745682,48.0,2,231
399.93854,494.0,15,243
59.000034,67.0,34,204
112.11931,93.0,24,209
64.63021,29.0,26,33
7.8124657,69.0,23,24
1.2636738,22.0,27,88
26.936333,38.0,185,226
40.85697,42.0,18,48
0.69433594,15.0,107,230
23.264694,43.0,161,202
19.447723,39.0,9,233
47.423965,14.0,54,100
44.357716,20.0,96,163
37.57615,20.0,49,110
-59.35537,13.0,3,168
19.257275,16.0,76,230
34.990574,45.0,9,60
79.63652,119.0,20,136
13.827667,14.0,26,105
-23.883001,36.0,133,241
42.148895,32.0,76,91
2528.2002,2299.0,3,13
12.499069,17.0,209,218
22.312984,14.0,38,108
1.5300903,21.0,42,188
46.995174,39.0,136,214
242.50154,548.0,83,243
96.23335,14.0,47,112
232.15167,446.0,7,22
578.8719,830.0,30,201
-17.680641,14.0,42,234
-73.34503,61.0,3,245
58.471977,15.0,29,118
6.2765465,17.0,93,214
7.642952,15.0,18,86
68.44214,130.0,25,200
-14.595428,50.0,45,63
312.77426,22.0,2,58
-25.951813,16.0,24,103
18.915602,27.0,19,47
-14.148861,11.0,36,77
0.49930573,30.0,57,205
824.5536,722.0,15,185
11.459511,23.0,3,156
6.64769,11.0,83,131
70.505264,133.0,24,27
162.38959,258.0,2,26
531.3539,302.0,12,34
7.3062515,17.0,73,157
106.59211,89.0,2,28
-15.959534,30.0,137,241
19.620445,15.0,24,152
10.487457,22.0,9,137
4949.3374,4615.0,0,1
-6.2887726,15.0,2,170
164.03317,264.0,5,51
324.25092,311.0,8,49
80.69623,12.0,16,243
-12.678242,28.0,58,71
122.46652,41.0,163,241
11.599403,24.0,63,66
7.783432,48.0,19,215
35.266056,64.0,46,64
73.88307,45.0,17,27
17.681797,11.0,51,52
53.916546,56.0,51,202
125.20311,138.0,73,136
3142.0884,3533.0,83,200
285.26688,620.0,49,73
77.49929,14.0,52,78
-0.008659363,14.0,16,37
444.04733,466.0,132,185
