pre_flow,true_flow,src_ids,dst_ids
626.49084,2091.0,11,14
-275.98752,15.0,15,131
8.37492,38.0,25,50
-94.1181,99.0,3,91
39.29447,30.0,204,214
11.618748,30.0,124,201
121.348724,96.0,63,89
-9.354099,12.0,110,210
112.61958,112.0,4,42
20.465256,15.0,112,118
-5.4816284,16.0,22,113
67.20856,21.0,64,245
100.50345,102.0,12,244
54.371643,51.0,33,107
63.68373,12.0,161,209
67.160706,159.0,12,33
119.31713,188.0,33,200
-22.016495,13.0,7,68
7.4883575,16.0,11,137
14.843529,46.0,112,243
169.05992,29.0,30,31
23.191788,13.0,21,138
60.52327,182.0,18,19
157.86517,15.0,53,55
27.742926,27.0,131,138
745.26843,754.0,4,6
-33.85007,13.0,11,113
68.972046,28.0,15,144
25.277252,17.0,115,200
65.87621,79.0,23,107
935.89575,860.0,12,205
1087.5139,1074.0,1,132
4.924721,48.0,2,231
508.88486,494.0,15,243
84.9956,67.0,34,204
88.70215,93.0,24,209
24.233273,29.0,26,33
-18.513794,69.0,23,24
12.562622,22.0,27,88
16.881092,38.0,185,226
15.402,42.0,18,48
-29.420383,15.0,107,230
60.13198,43.0,161,202
39.555786,39.0,9,233
-17.517605,14.0,54,100
34.37517,20.0,96,163
13.005806,20.0,49,110
-47.37594,13.0,3,168
12.88205,16.0,76,230
29.22062,45.0,9,60
121.107796,119.0,20,136
8.73111,14.0,26,105
19.335423,36.0,133,241
35.260395,32.0,76,91
2600.9023,2299.0,3,13
39.93114,17.0,209,218
40.649933,14.0,38,108
6.482773,21.0,42,188
-2.619522,39.0,136,214
450.7016,548.0,83,243
20.857597,14.0,47,112
371.38763,446.0,7,22
885.5959,830.0,30,201
17.579643,14.0,42,234
401.13025,61.0,3,245
14.9702835,15.0,29,118
15.558174,17.0,93,214
-14.5674305,15.0,18,86
89.04724,130.0,25,200
68.19743,50.0,45,63
-23.528381,22.0,2,58
-16.040556,16.0,24,103
25.131237,27.0,19,47
50.020714,11.0,36,77
-35.616478,30.0,57,205
793.48755,722.0,15,185
-75.54991,23.0,3,156
-161.18887,11.0,83,131
96.99533,133.0,24,27
310.58902,258.0,2,26
419.66437,302.0,12,34
20.221848,17.0,73,157
132.08823,89.0,2,28
32.59527,30.0,137,241
-47.706055,15.0,24,152
23.476358,22.0,9,137
4637.661,4615.0,0,1
16.286697,15.0,2,170
178.393,264.0,5,51
365.31653,311.0,8,49
-7.767666,12.0,16,243
-41.856926,28.0,58,71
14.381508,41.0,163,241
77.948105,24.0,63,66
55.079025,48.0,19,215
53.59854,64.0,46,64
66.58441,45.0,17,27
-27.461412,11.0,51,52
33.179565,56.0,51,202
148.29584,138.0,73,136
3321.2363,3533.0,83,200
351.91672,620.0,49,73
58.04384,14.0,52,78
-47.086548,14.0,16,37
438.84875,466.0,132,185
10.94162,24.0,31,97
13.769875,14.0,1,118
56.89875,49.0,34,209
38.762108,23.0,52,73
156.35309,96.0,63,227
94.64768,24.0,70,200
-75.552246,193.0,23,241
73.97167,80.0,28,63
37.594124,30.0,25,78
31.937954,15.0,32,68
-662.0818,52.0,3,121
49.24494,18.0,36,217
75.06018,19.0,77,226
33.93643,26.0,76,223
19.249035,85.0,51,59
101.994064,133.0,107,237
88.84038,12.0,132,218
22.197105,44.0,15,60
349.44427,189.0,24,204
21.245243,18.0,204,236
-10.037281,17.0,13,109
96.17445,106.0,9,89
86.05651,103.0,2,203
68.174576,32.0,8,84
94.61133,166.0,2,227
497.5915,482.0,42,241
105.59312,32.0,38,77
42.752075,114.0,2,52
15.65242,18.0,9,216
35.559776,12.0,88,115
83.278534,25.0,10,20
348.40662,257.0,21,200
32.84124,76.0,9,215
3.9623737,11.0,31,215
304.26465,539.0,3,50
24.147308,23.0,32,49
76.326065,32.0,4,245
-115.52139,28.0,3,48
42.277546,39.0,60,83
2061.002,1981.0,3,132
-91.97308,11.0,50,121
15.928487,16.0,22,174
-1.4054909,17.0,34,110
12.688791,20.0,49,234
112.96155,51.0,12,88
26.367237,24.0,1,54
19.956596,37.0,200,230
45.42862,30.0,53,105
-25.60213,31.0,49,57
25.615889,12.0,19,111
847.22437,1138.0,2,185
178.26816,87.0,36,200
66.23708,16.0,5,166
-29.516678,11.0,108,131
137.09265,144.0,11,101
53.739784,17.0,21,54
-14.099617,29.0,24,221
64.27467,29.0,93,132
4.873333,25.0,204,226
21.56571,33.0,12,97
42.613148,18.0,195,200
1003.95337,934.0,136,201
13.679089,25.0,174,210
26.044264,18.0,32,215
18.835491,12.0,133,210
-15.156425,18.0,35,64
16.580067,13.0,36,70
15.880226,17.0,24,44
22.945356,11.0,26,129
7.7858276,12.0,31,237
98.219406,78.0,101,107
53.524887,28.0,24,91
26.28981,109.0,9,244
-24.508652,19.0,78,88
23.15633,14.0,110,226
-247.72482,36.0,0,225
34.072086,19.0,62,223
144.21152,131.0,9,47
20.98497,48.0,34,242
1055.0824,12.0,147,201
5.190983,11.0,205,223
360.19427,374.0,50,200
-15.571098,17.0,6,64
51.028297,11.0,11,117
293.19168,360.0,22,24
24.058573,11.0,26,155
56.75473,21.0,40,236
