pre_flow,true_flow,src_ids,dst_ids
1236.7,2091.0,11,14
18.111818181818183,15.0,15,131
31.0,38.0,25,50
74.1,99.0,3,91
55.1,30.0,204,214
27.3,30.0,124,201
120.3,96.0,63,89
13.985714285714286,12.0,110,210
154.8,112.0,4,42
30.984197031039137,15.0,112,118
17.430729417147326,16.0,22,113
18.388613554903873,21.0,64,245
104.4,102.0,12,244
86.9,51.0,33,107
23.7,12.0,161,209
218.1,159.0,12,33
238.1,188.0,33,200
19.04469675945393,13.0,7,68
20.071282051282054,16.0,11,137
41.8,46.0,112,243
27.26070707070707,29.0,30,31
15.380675954592363,13.0,21,138
103.5,182.0,18,19
21.8,15.0,53,55
26.299412805662804,27.0,131,138
987.8,754.0,4,6
15.338871233871235,13.0,11,113
24.044303751803753,28.0,15,144
41.55,17.0,115,200
55.0,79.0,23,107
767.8,860.0,12,205
1378.7,1074.0,1,132
44.94,48.0,2,231
534.6,494.0,15,243
97.0,67.0,34,204
109.4,93.0,24,209
30.461538461538463,29.0,26,33
82.8,69.0,23,24
41.31666666666667,22.0,27,88
22.988633099043316,38.0,185,226
24.08611111111111,42.0,18,48
25.39450190905935,15.0,107,230
68.1,43.0,161,202
28.477906976744187,39.0,9,233
14.386363636363637,14.0,54,100
19.32652615702151,20.0,96,163
27.369123931623932,20.0,49,110
21.375666666666667,13.0,3,168
13.250299561699114,16.0,76,230
64.4,45.0,9,60
124.2,119.0,20,136
16.86974281869033,14.0,26,105
76.0,36.0,133,241
20.19212221126587,32.0,76,91
2955.6,2299.0,3,13
15.563213632717028,17.0,209,218
21.031970121381885,14.0,38,108
29.053846153846155,21.0,42,188
48.1,39.0,136,214
651.0,548.0,83,243
21.6,14.0,47,112
463.1,446.0,7,22
458.7,830.0,30,201
16.718223618486775,14.0,42,234
48.10410256410256,61.0,3,245
24.71132253711201,15.0,29,118
23.9875,17.0,93,214
26.38290322580645,15.0,18,86
95.1,130.0,25,200
75.1,50.0,45,63
23.56290322580645,22.0,2,58
25.06263586956522,16.0,24,103
47.3,27.0,19,47
18.419999999999998,11.0,36,77
27.8,30.0,57,205
832.2,722.0,15,185
33.48958333333333,23.0,3,156
17.513333333333332,11.0,83,131
122.5,133.0,24,27
206.3,258.0,2,26
378.1,302.0,12,34
25.584054054054054,17.0,73,157
93.1,89.0,2,28
25.85,30.0,137,241
21.098010608130746,15.0,24,152
20.764944013781225,22.0,9,137
4888.5,4615.0,0,1
17.719040404040403,15.0,2,170
325.3,264.0,5,51
285.8,311.0,8,49
23.8,12.0,16,243
30.9237973868237,28.0,58,71
25.25,41.0,163,241
28.79666666666667,24.0,63,66
28.48095238095238,48.0,19,215
19.911139194632263,64.0,46,64
54.4,45.0,17,27
18.45609756097561,11.0,51,52
78.3,56.0,51,202
116.3,138.0,73,136
3623.6,3533.0,83,200
529.0,620.0,49,73
19.733333333333334,14.0,52,78
25.96554550025138,14.0,16,37
479.5,466.0,132,185
15.371584263689524,24.0,31,97
23.852813852813853,14.0,1,118
46.45,49.0,34,209
39.4,23.0,52,73
119.6,96.0,63,227
16.252222222222223,24.0,70,200
120.0,193.0,23,241
79.9,80.0,28,63
26.4,30.0,25,78
29.876340576986752,15.0,32,68
42.33333333333333,52.0,3,121
15.86302050214628,18.0,36,217
22.68271175330278,19.0,77,226
24.12272727272727,26.0,76,223
70.4,85.0,51,59
80.4,133.0,107,237
27.537560975609757,12.0,132,218
69.4,44.0,15,60
255.6,189.0,24,204
27.69487525987526,18.0,204,236
17.988663663663665,17.0,13,109
93.9,106.0,9,89
104.5,103.0,2,203
20.34958944955238,32.0,8,84
111.3,166.0,2,227
677.6,482.0,42,241
33.7,32.0,38,77
109.9,114.0,2,52
18.143206256109483,18.0,9,216
21.952727272727273,12.0,88,115
37.3,25.0,10,20
461.6,257.0,21,200
88.8,76.0,9,215
14.190973811339944,11.0,31,215
502.9,539.0,3,50
43.4,23.0,32,49
20.011111111111113,32.0,4,245
36.380969267139484,28.0,3,48
47.3,39.0,60,83
2157.5,1981.0,3,132
15.706129112662016,11.0,50,121
21.856442894629726,16.0,22,174
20.09947994383258,17.0,34,110
47.660000000000004,20.0,49,234
83.0,51.0,12,88
31.195098039215686,24.0,1,54
46.9,37.0,200,230
15.89795698924731,30.0,53,105
35.60429858429858,31.0,49,57
16.35889149343948,12.0,19,111
1351.9,1138.0,2,185
79.5625,87.0,36,200
22.081489321128906,16.0,5,166
16.578696004717674,11.0,108,131
139.8,144.0,11,101
18.725520044083204,17.0,21,54
42.88,29.0,24,221
48.4,29.0,93,132
26.393488271684113,25.0,204,226
33.89,33.0,12,97
42.63,18.0,195,200
1009.6,934.0,136,201
51.7,25.0,174,210
27.65833333333333,18.0,32,215
42.44444444444444,12.0,133,210
16.120866013071897,18.0,35,64
15.211626311541565,13.0,36,70
33.65833333333333,17.0,24,44
23.419618163054693,11.0,26,129
13.507287449392711,12.0,31,237
114.2,78.0,101,107
43.4,28.0,24,91
109.9,109.0,9,244
30.72,19.0,78,88
14.1510347985348,14.0,110,226
24.286944444444444,36.0,0,225
20.167258064516126,19.0,62,223
153.4,131.0,9,47
33.5,48.0,34,242
44.2,12.0,147,201
40.46666666666666,11.0,205,223
498.4,374.0,50,200
28.12797336894032,17.0,6,64
23.656038647342996,11.0,11,117
350.5,360.0,22,24
15.433156741895525,11.0,26,155
21.099143176313152,21.0,40,236
15.4,16.0,188,244
20.944444444444446,20.0,19,210
16.49137554905976,13.0,40,159
21.838888048772343,15.0,21,111
19.017506755539543,19.0,19,108
51.1,56.0,8,38
63.6,55.0,15,199
32.9,19.0,158,201
41.193680092517305,36.0,7,109
17.46219967024845,14.0,73,233
91.0,101.0,3,31
28.595636907632013,28.0,7,234
18.782884615384614,13.0,54,66
39.583787878787874,20.0,15,189
880.8,921.0,8,241
62.4,68.0,32,83
16.255310873337187,13.0,73,144
13.661924242424243,11.0,60,76
62.0,81.0,7,31
35.41290322580645,17.0,18,121
23.050833333333333,16.0,5,239
87.5,98.0,3,199
18.176574298887783,26.0,100,228
33.760000000000005,32.0,6,97
24.7,12.0,79,136
28.35,17.0,11,231
138.0,74.0,199,200
29.157274388954345,29.0,136,227
23.368546527250423,15.0,19,25
18.498182236237025,11.0,21,224
22.39120638923918,27.0,64,108
23.2562091503268,30.0,209,223
58.04,63.0,3,114
95.9,81.0,200,215
16.9,22.0,31,49
40.3,34.0,26,40
17.72,16.0,95,242
70.43333333333332,58.0,5,97
90.49333333333334,90.0,2,84
18.7,27.0,66,107
23.603571428571428,15.0,11,105
243.8,207.0,34,132
22.4,19.0,64,83
29.39087301587302,17.0,5,120
67.4,55.0,7,110
19.70387021107308,11.0,34,137
22.505555555555553,21.0,225,241
2611.2,2583.0,3,24
28.4,23.0,23,209
22.150228742834965,13.0,204,230
388.4,795.0,11,20
20.244174759596753,22.0,13,66
17.76697994987469,18.0,72,216
77.6,40.0,24,36
52.2,58.0,185,244
22.141666666666666,21.0,59,214
42.1,34.0,57,132
15.776105020756182,11.0,14,225
20.594530303030304,12.0,15,168
19.86174264721041,15.0,22,236
14.14933877147448,14.0,35,72
50.3,14.0,10,27
17.307250626566418,20.0,19,91
19.336233386496545,17.0,42,224
60.8,39.0,226,228
1722.4,1033.0,200,205
17.8,15.0,31,185
33.733333333333334,26.0,8,59
49.05,53.0,11,215
28.4,11.0,151,241
36.9,11.0,10,204
208.8,148.0,1,19
504.6,404.0,49,78
26.0,12.0,129,136
18.404119644723092,11.0,54,91
39.4,39.0,66,83
19.991766917293234,14.0,80,221
17.16678451178451,16.0,9,151
35.86190476190476,16.0,14,46
27.977828282828284,24.0,18,155
23.635458937198067,15.0,25,199
16.273691700788977,19.0,46,72
20.15320346320346,14.0,202,228
72.8,73.0,12,32
23.070075547332713,17.0,5,72
15.1903145858409,15.0,73,92
32.22849567099567,12.0,12,239
63.7,67.0,18,23
50.2,26.0,13,32
36.644444444444446,65.0,22,210
24.7607896639292,29.0,72,219
91.2,71.0,8,204
19.274065656565657,31.0,7,225
19.211904761904762,18.0,51,215
63.4,47.0,110,200
818.0,722.0,6,185
144.4,142.0,5,227
75.1,60.0,1,100
13.957258064516129,13.0,44,77
119.1,72.0,6,89
78.6,94.0,15,93
54.739999999999995,64.0,0,233
126.6,82.0,11,47
265.4,216.0,136,205
16.030064198096987,12.0,110,227
296.6,372.0,112,200
26.5,13.0,203,237
51.9,61.0,3,228
56.17272727272727,57.0,97,223
115.2,122.0,24,211
97.9,130.0,5,62
108.3,75.0,14,112
17.6,13.0,43,136
103.0,120.0,2,59
27.5,27.0,88,204
31.15,22.0,51,209
60.1,40.0,17,22
54.7,83.0,29,33
5555.2,5676.0,2,3
198.8,195.0,15,38
13.9,16.0,97,107
673.1,484.0,42,132
2768.8,2624.0,6,63
26.443333333333328,60.0,83,232
25.05911248535959,21.0,40,91
19.6,17.0,103,209
70.1,27.0,94,200
31.945069013112494,27.0,2,124
61.1,64.0,101,136
24.819940406244754,19.0,14,57
14.54661579538033,12.0,69,234
2403.4,3163.0,0,11
27.629032258064512,13.0,29,52
16.172222222222224,18.0,70,241
36.95833333333333,33.0,12,53
111.0,74.0,17,73
440.6,524.0,9,136
13.81561246516991,23.0,51,230
