pre_flow,true_flow,src_ids,dst_ids
990.3333333333334,2091.0,11,14
21.033333333333335,15.0,15,131
41.63333333333333,38.0,25,50
69.53333333333333,99.0,3,91
44.266666666666666,30.0,204,214
22.166666666666668,30.0,124,201
140.76666666666668,96.0,63,89
15.833333333333334,12.0,110,210
143.1,112.0,4,42
23.41388888888889,15.0,112,118
14.35731884057971,16.0,22,113
24.41626984126984,21.0,64,245
86.76666666666667,102.0,12,244
80.0,51.0,33,107
38.46666666666667,12.0,161,209
180.33333333333334,159.0,12,33
220.6,188.0,33,200
24.633333333333333,13.0,7,68
21.259487179487177,16.0,11,137
57.766666666666666,46.0,112,243
31.119444444444447,29.0,30,31
16.49,13.0,21,138
101.03333333333333,182.0,18,19
20.255555555555556,15.0,53,55
31.566666666666666,27.0,131,138
976.4,754.0,4,6
21.369696969696967,13.0,11,113
23.133333333333333,28.0,15,144
221.16666666666666,17.0,115,200
45.53333333333333,79.0,23,107
722.0666666666667,860.0,12,205
1074.6333333333334,1074.0,1,132
51.9,48.0,2,231
592.1666666666666,494.0,15,243
93.2,67.0,34,204
127.1,93.0,24,209
42.3,29.0,26,33
140.63333333333333,69.0,23,24
35.36666666666667,22.0,27,88
23.018888888888892,38.0,185,226
25.966666666666665,42.0,18,48
21.525,15.0,107,230
38.6,43.0,161,202
26.846666666666668,39.0,9,233
16.466666666666665,14.0,54,100
25.65,20.0,96,163
28.324786324786324,20.0,49,110
24.67142857142857,13.0,3,168
17.05622641509434,16.0,76,230
43.733333333333334,45.0,9,60
135.43333333333334,119.0,20,136
18.288636363636364,14.0,26,105
57.06666666666667,36.0,133,241
29.407692307692308,32.0,76,91
2390.8333333333335,2299.0,3,13
18.515219373219377,17.0,209,218
18.17222222222222,14.0,38,108
31.266666666666666,21.0,42,188
25.933333333333334,39.0,136,214
787.3,548.0,83,243
31.0,14.0,47,112
529.0333333333333,446.0,7,22
541.0333333333333,830.0,30,201
16.706666666666667,14.0,42,234
44.0,61.0,3,245
21.95388888888889,15.0,29,118
23.154545454545453,17.0,93,214
26.533333333333335,15.0,18,86
127.8,130.0,25,200
75.36666666666666,50.0,45,63
24.333333333333332,22.0,2,58
23.933333333333334,16.0,24,103
36.993798449612406,27.0,19,47
42.1,11.0,36,77
39.7,30.0,57,205
795.0333333333333,722.0,15,185
23.30714285714286,23.0,3,156
26.266666666666666,11.0,83,131
180.56666666666666,133.0,24,27
251.4,258.0,2,26
384.73333333333335,302.0,12,34
29.733057708871662,17.0,73,157
84.86666666666666,89.0,2,28
26.0,30.0,137,241
17.833333333333332,15.0,24,152
22.733333333333334,22.0,9,137
5285.066666666667,4615.0,0,1
20.138095238095236,15.0,2,170
254.53333333333333,264.0,5,51
285.5,311.0,8,49
21.933333333333334,12.0,16,243
61.03333333333333,28.0,58,71
65.16666666666667,41.0,163,241
25.79047619047619,24.0,63,66
23.19018359486547,48.0,19,215
22.333333333333332,64.0,46,64
56.96666666666667,45.0,17,27
30.266666666666666,11.0,51,52
52.833333333333336,56.0,51,202
160.7,138.0,73,136
3510.4666666666667,3533.0,83,200
591.5333333333333,620.0,49,73
26.333333333333332,14.0,52,78
14.195652173913043,14.0,16,37
372.23333333333335,466.0,132,185
16.966666666666665,24.0,31,97
33.233333333333334,14.0,1,118
50.66231884057971,49.0,34,209
35.266666666666666,23.0,52,73
109.36666666666666,96.0,63,227
36.96666666666667,24.0,70,200
127.1,193.0,23,241
152.6,80.0,28,63
26.2,30.0,25,78
25.713888888888892,15.0,32,68
44.03333333333333,52.0,3,121
16.872530864197532,18.0,36,217
25.140816326530615,19.0,77,226
19.5,26.0,76,223
63.166666666666664,85.0,51,59
83.63333333333334,133.0,107,237
39.94666666666667,12.0,132,218
50.83888888888889,44.0,15,60
270.1,189.0,24,204
27.458543417366947,18.0,204,236
25.766666666666666,17.0,13,109
112.1,106.0,9,89
101.5,103.0,2,203
17.62388583638584,32.0,8,84
146.36666666666667,166.0,2,227
600.3666666666667,482.0,42,241
24.9,32.0,38,77
125.66666666666667,114.0,2,52
21.633333333333333,18.0,9,216
18.433333333333334,12.0,88,115
30.4,25.0,10,20
460.03333333333336,257.0,21,200
61.46666666666667,76.0,9,215
15.637586367880484,11.0,31,215
507.23333333333335,539.0,3,50
71.4,23.0,32,49
22.83809523809524,32.0,4,245
24.666666666666668,28.0,3,48
62.5,39.0,60,83
1858.6666666666667,1981.0,3,132
18.55551282051282,11.0,50,121
27.24388888888889,16.0,22,174
19.760023809523812,17.0,34,110
33.53333333333333,20.0,49,234
110.86666666666666,51.0,12,88
46.733333333333334,24.0,1,54
51.07333333333334,37.0,200,230
18.965555555555557,30.0,53,105
40.266666666666666,31.0,49,57
19.43214285714286,12.0,19,111
1148.9,1138.0,2,185
74.36666666666666,87.0,36,200
24.133333333333333,16.0,5,166
18.85748299319728,11.0,108,131
154.16666666666666,144.0,11,101
22.225970017636687,17.0,21,54
44.233333333333334,29.0,24,221
35.0,29.0,93,132
22.353534120200788,25.0,204,226
35.8,33.0,12,97
44.266666666666666,18.0,195,200
753.5666666666667,934.0,136,201
65.36666666666666,25.0,174,210
21.503472222222225,18.0,32,215
41.53333333333333,12.0,133,210
17.983333333333334,18.0,35,64
19.10138888888889,13.0,36,70
26.1,17.0,24,44
21.65753968253968,11.0,26,129
15.6,12.0,31,237
108.43333333333334,78.0,101,107
44.9,28.0,24,91
109.13333333333334,109.0,9,244
35.733333333333334,19.0,78,88
14.085947757958628,14.0,110,226
39.833333333333336,36.0,0,225
20.033333333333335,19.0,62,223
136.2,131.0,9,47
59.833333333333336,48.0,34,242
1065.9666666666667,12.0,147,201
25.4,11.0,205,223
457.56666666666666,374.0,50,200
22.966666666666665,17.0,6,64
21.6,11.0,11,117
477.23333333333335,360.0,22,24
23.414814814814815,11.0,26,155
23.964642857142856,21.0,40,236
25.0,16.0,188,244
24.361904761904764,20.0,19,210
22.505719052385718,13.0,40,159
25.8471568627451,15.0,21,111
19.588571428571427,19.0,19,108
58.9,56.0,8,38
59.36666666666667,55.0,15,199
29.833333333333332,19.0,158,201
44.56666666666667,36.0,7,109
21.49814814814815,14.0,73,233
105.43333333333334,101.0,3,31
27.3,28.0,7,234
23.23669590643275,13.0,54,66
33.03333333333333,20.0,15,189
803.0333333333333,921.0,8,241
101.36666666666666,68.0,32,83
19.694134199134204,13.0,73,144
17.467195504484483,11.0,60,76
78.4,81.0,7,31
26.21282051282051,17.0,18,121
28.533333333333335,16.0,5,239
79.63333333333334,98.0,3,199
18.334800532800532,26.0,100,228
38.38666666666666,32.0,6,97
16.233333333333334,12.0,79,136
32.246153846153845,17.0,11,231
123.26666666666667,74.0,199,200
23.22991452991453,29.0,136,227
21.8125,15.0,19,25
16.840740740740742,11.0,21,224
22.42991452991453,27.0,64,108
19.433333333333334,30.0,209,223
60.43333333333333,63.0,3,114
75.66666666666667,81.0,200,215
53.06666666666667,22.0,31,49
36.63333333333333,34.0,26,40
15.4,16.0,95,242
74.26666666666667,58.0,5,97
82.83333333333333,90.0,2,84
22.433333333333334,27.0,66,107
23.233333333333334,15.0,11,105
247.26666666666668,207.0,34,132
25.666666666666668,19.0,64,83
33.86666666666667,17.0,5,120
53.06666666666667,55.0,7,110
15.762698412698414,11.0,34,137
38.03333333333333,21.0,225,241
2652.9,2583.0,3,24
35.233333333333334,23.0,23,209
18.63216049382716,13.0,204,230
456.8,795.0,11,20
19.2,22.0,13,66
16.50941176470588,18.0,72,216
63.766666666666666,40.0,24,36
38.766666666666666,58.0,185,244
27.233333333333334,21.0,59,214
33.833333333333336,34.0,57,132
20.675783475783476,11.0,14,225
18.575238095238095,12.0,15,168
20.57139334521688,15.0,22,236
13.814285714285715,14.0,35,72
35.7,14.0,10,27
20.93292543373939,20.0,19,91
22.048000000000002,17.0,42,224
56.72713178294574,39.0,226,228
1136.0666666666666,1033.0,200,205
22.566666666666666,15.0,31,185
29.529629629629632,26.0,8,59
39.733333333333334,53.0,11,215
28.666666666666668,11.0,151,241
22.133333333333333,11.0,10,204
253.33333333333334,148.0,1,19
555.9333333333333,404.0,49,78
17.433333333333334,12.0,129,136
14.003520671834625,11.0,54,91
39.63333333333333,39.0,66,83
20.668518518518518,14.0,80,221
18.233333333333334,16.0,9,151
31.7,16.0,14,46
22.6,24.0,18,155
28.25048076923077,15.0,25,199
17.458333333333332,19.0,46,72
19.34264765596161,14.0,202,228
84.46666666666667,73.0,12,32
16.104761904761904,17.0,5,72
21.629610389610388,15.0,73,92
41.333333333333336,12.0,12,239
53.56666666666667,67.0,18,23
77.3,26.0,13,32
43.5,65.0,22,210
20.201785714285716,29.0,72,219
103.96666666666667,71.0,8,204
25.733333333333334,31.0,7,225
21.29318825910931,18.0,51,215
56.5,47.0,110,200
809.4666666666667,722.0,6,185
138.53333333333333,142.0,5,227
96.26666666666667,60.0,1,100
19.4,13.0,44,77
121.7,72.0,6,89
72.2,94.0,15,93
50.3,64.0,0,233
113.2,82.0,11,47
168.63333333333333,216.0,136,205
18.674358974358977,12.0,110,227
269.56666666666666,372.0,112,200
31.266666666666666,13.0,203,237
60.86666666666667,61.0,3,228
44.03333333333333,57.0,97,223
128.53333333333333,122.0,24,211
136.1,130.0,5,62
118.9,75.0,14,112
15.2,13.0,43,136
115.53333333333333,120.0,2,59
33.96666666666667,27.0,88,204
33.27777777777778,22.0,51,209
158.13333333333333,40.0,17,22
55.53333333333333,83.0,29,33
5899.333333333333,5676.0,2,3
196.66666666666666,195.0,15,38
20.766666666666666,16.0,97,107
364.1666666666667,484.0,42,132
2330.733333333333,2624.0,6,63
43.4,60.0,83,232
30.670833333333334,21.0,40,91
35.86666666666667,17.0,103,209
38.8,27.0,94,200
31.223809523809525,27.0,2,124
58.3,64.0,101,136
28.9,19.0,14,57
16.57257525083612,12.0,69,234
2595.1666666666665,3163.0,0,11
33.5,13.0,29,52
35.93333333333333,18.0,70,241
32.07948717948718,33.0,12,53
97.36666666666666,74.0,17,73
399.26666666666665,524.0,9,136
