pre_flow,true_flow,src_ids,dst_ids
739.14,2091,11,14
157.28,15,15,131
37.14,38,25,50
84.26,99,3,91
44.22,30,204,214
43.64,30,124,201
197.58,96,63,89
26.16,12,110,210
147.0,112,4,42
167.32,15,112,118
23.14,16,22,113
18.22,21,64,245
164.0,102,12,244
97.06,51,33,107
25.48,12,161,209
279.82,159,12,33
372.68,188,33,200
164.26,13,7,68
36.18,16,11,137
56.34,46,112,243
68.54,29,30,31
39.5,13,21,138
150.94,182,18,19
28.68,15,53,55
112.88,27,131,138
1522.22,754,4,6
35.22,13,11,113
47.98,28,15,144
23.14,17,115,200
738.16,79,23,107
505.12,860,12,205
964.44,1074,1,132
64.3,48,2,231
364.5,494,15,243
106.98,67,34,204
88.08,93,24,209
58.92,29,26,33
778.04,69,23,24
17.04,22,27,88
29.96,38,185,226
29.58,42,18,48
94.58,15,107,230
74.52,43,161,202
167.08,39,9,233
26.5,14,54,100
32.6,20,96,163
27.951666666666664,20,49,110
57.26,13,3,168
18.38,16,76,230
59.78,45,9,60
106.0,119,20,136
16.64,14,26,105
1258.8,36,133,241
23.52,32,76,91
1472.54,2299,3,13
39.3,17,209,218
19.871666666666666,14,38,108
32.08,21,42,188
39.16,39,136,214
237.74,548,83,243
34.88,14,47,112
252.22,446,7,22
433.02,830,30,201
32.72,14,42,234
293.24,61,3,245
41.16,15,29,118
23.74,17,93,214
47.26,15,18,86
103.64,130,25,200
67.2,50,45,63
183.12,22,2,58
92.44,16,24,103
106.82,27,19,47
37.94,11,36,77
39.86,30,57,205
457.5,722,15,185
62.38,23,3,156
189.78,11,83,131
106.62,133,24,27
187.16,258,2,26
233.58,302,12,34
32.38,17,73,157
732.62,89,2,28
54.56,30,137,241
64.84,15,24,152
44.82,22,9,137
2334.52,4615,0,1
39.94,15,2,170
122.34,264,5,51
300.28,311,8,49
71.86,12,16,243
52.04,28,58,71
69.82,41,163,241
125.62,24,63,66
101.36,48,19,215
23.3,64,46,64
59.58,45,17,27
26.34,11,51,52
96.92,56,51,202
76.18,138,73,136
2528.74,3533,83,200
525.78,620,49,73
38.92,14,52,78
19.08,14,16,37
180.32,466,132,185
16.18,24,31,97
383.16,14,1,118
60.02,49,34,209
20.04,23,52,73
107.06,96,63,227
52.2,24,70,200
2913.26,193,23,241
464.7,80,28,63
63.28,30,25,78
56.8,15,32,68
316.74,52,3,121
17.96,18,36,217
47.84,19,77,226
19.9,26,76,223
179.84,85,51,59
61.7,133,107,237
235.64,12,132,218
64.62,44,15,60
130.06,189,24,204
29.72,18,204,236
95.86,17,13,109
75.7,106,9,89
445.94,103,2,203
190.94,32,8,84
235.52,166,2,227
201.34,482,42,241
33.92,32,38,77
79.84,114,2,52
56.26,18,9,216
17.96,12,88,115
82.02,25,10,20
173.44,257,21,200
427.74,76,9,215
27.36,11,31,215
368.6,539,3,50
42.92,23,32,49
170.98,32,4,245
164.0,28,3,48
57.58,39,60,83
1363.2,1981,3,132
26.3,11,50,121
48.28,16,22,174
24.46,17,34,110
56.94,20,49,234
44.86,51,12,88
43.76,24,1,54
53.28,37,200,230
24.4,30,53,105
63.32,31,49,57
44.66,12,19,111
974.88,1138,2,185
342.7,87,36,200
56.7,16,5,166
34.0,11,108,131
256.82,144,11,101
19.64,17,21,54
54.82,29,24,221
37.7,29,93,132
21.24,25,204,226
52.62,33,12,97
36.54,18,195,200
339.68,934,136,201
55.64,25,174,210
34.16,18,32,215
133.82,12,133,210
22.64,18,35,64
31.471999999999998,13,36,70
27.12,17,24,44
28.48,11,26,129
27.0,12,31,237
90.44,78,101,107
57.18,28,24,91
127.0,109,9,244
50.72,19,78,88
17.82,14,110,226
365.98,36,0,225
25.04,19,62,223
352.24,131,9,47
62.0,48,34,242
133.64,12,147,201
24.11,11,205,223
362.5,374,50,200
26.46,17,6,64
28.68,11,11,117
176.42,360,22,24
31.92,11,26,155
32.74,21,40,236
50.7,16,188,244
67.44,20,19,210
28.9,13,40,159
32.04,15,21,111
26.86,19,19,108
131.32,56,8,38
131.84,55,15,199
59.94,19,158,201
102.82,36,7,109
28.78,14,73,233
87.16,101,3,31
34.94,28,7,234
47.48,13,54,66
899.62,20,15,189
1137.52,921,8,241
123.08,68,32,83
30.74,13,73,144
23.4,11,60,76
51.62,81,7,31
39.4,17,18,121
62.26,16,5,239
92.02,98,3,199
26.42,26,100,228
91.68,32,6,97
41.56,12,79,136
38.8,17,11,231
154.86,74,199,200
47.44,29,136,227
81.34,15,19,25
39.08,11,21,224
33.72,27,64,108
25.286666666666665,30,209,223
75.28,63,3,114
710.78,81,200,215
25.96,22,31,49
49.98,34,26,40
70.48,16,95,242
46.9,58,5,97
603.64,90,2,84
102.02,27,66,107
88.38,15,11,105
243.32,207,34,132
51.84,19,64,83
130.18,17,5,120
40.6,55,7,110
23.94,11,34,137
154.08,21,225,241
1100.72,2583,3,24
76.2,23,23,209
30.34,13,204,230
836.16,795,11,20
86.38,22,13,66
17.236,18,72,216
172.28,40,24,36
72.56,58,185,244
35.3,21,59,214
54.66,34,57,132
62.62,11,14,225
21.88,12,15,168
37.32,15,22,236
16.98,14,35,72
58.08,14,10,27
27.58,20,19,91
46.54,17,42,224
74.1,39,226,228
1058.8,1033,200,205
23.02,15,31,185
110.16,26,8,59
519.18,53,11,215
52.76,11,151,241
61.64,11,10,204
298.34,148,1,19
125.4,404,49,78
30.22,12,129,136
19.18,11,54,91
72.96,39,66,83
37.48,14,80,221
33.62,16,9,151
20.1,16,14,46
34.22,24,18,155
26.04,15,25,199
19.12,19,46,72
39.82,14,202,228
109.2,73,12,32
42.54,17,5,72
36.66,15,73,92
54.06,12,12,239
545.42,67,18,23
120.5,26,13,32
47.78,65,22,210
22.24,29,72,219
234.24,71,8,204
224.8,31,7,225
72.34,18,51,215
68.84,47,110,200
544.02,722,6,185
104.34,142,5,227
256.48,60,1,100
18.64,13,44,77
145.24,72,6,89
79.56,94,15,93
575.9,64,0,233
115.9,82,11,47
179.18,216,136,205
59.14,12,110,227
425.96,372,112,200
45.84,13,203,237
93.88,61,3,228
28.48,57,97,223
72.76,122,24,211
184.58,130,5,62
59.24,75,14,112
52.02,13,43,136
255.56,120,2,59
42.0,27,88,204
38.7,22,51,209
78.48,40,17,22
106.54,83,29,33
4705.68,5676,2,3
147.9,195,15,38
32.82,16,97,107
436.66,484,42,132
1857.3,2624,6,63
97.2,60,83,232
22.48,21,40,91
24.74,17,103,209
74.8,27,94,200
34.56,27,2,124
67.86,64,101,136
39.0,19,14,57
20.22,12,69,234
2036.34,3163,0,11
34.88,13,29,52
260.86,18,70,241
40.7,33,12,53
110.32,74,17,73
456.6,524,9,136
28.82,23,51,230
68.46,37,20,39
47.72,42,14,221
39.82,34,136,209
39.0,51,51,136
33.08,34,52,205
41.0,20,65,116
135.84,41,5,66
22.84,11,46,155
237.56,202,12,101
786.82,1350,11,12
30.68,11,19,225
42.06666666666667,40,36,42
32.74,49,12,223
39.46,12,73,159
52.44,90,7,16
29.32,12,32,130
560.3,522,2,34
37.6,13,4,139
66.2,11,94,132
161.78,179,12,40
21.16,12,28,65
70.18,115,3,89
22.14,25,20,70
114.54,201,0,52
141.02,42,7,66
76.3,70,8,27
33.16,22,3,81
118.52,162,22,49
27.80095238095238,18,60,223
783.32,1712,15,24
179.78,46,1,31
29.7,11,47,161
62.02,25,40,209
61.34,69,5,76
18.11916666666667,11,117,216
106.4,175,0,188
63.14,63,9,93
79.68,31,1,116
75.88,47,7,231
132.74,73,34,136
25.98,14,59,228
24.2,57,35,45
39.02,22,51,211
29.44,11,46,65
49.66,37,163,200
42.805,28,32,73
32.18,27,42,231
29.54,12,54,159
42.94,13,97,101
24.46,12,46,71
37.94,13,18,71
70.66,14,101,133
26.32,22,46,70
32.4,29,30,62
56.6,15,45,243
48.04,11,110,136
16.78,12,53,209
1639.58,1638,13,200
84.4,28,57,174
58.26,43,188,243
94.5,52,14,39
2007.88,4125,2,83
35.06,45,29,93
64.8,45,6,114
988.72,1586,6,132
123.7,92,59,83
142.8,25,2,206
86.76,34,3,61
61.68,29,26,77
22.02,17,91,146
254.98,165,3,80
31.124000000000002,23,26,161
37.04,18,30,76
303.92,264,34,185
69.72,12,1,109
503.42,117,203,241
53.2,39,11,140
195.78,12,3,99
45.16,30,117,136
102.0,16,0,192
128.42,49,4,51
30.22,22,137,185
41.24,18,28,209
69.82,30,140,185
25.4,22,64,87
23.52,14,24,43
38.96,12,15,115
92.38,37,7,229
79.5,22,66,132
98.38,22,7,79
19.82,14,20,43
48.76,20,29,161
17.02,11,209,245
23.56,16,53,176
56.06,18,4,97
215.32,127,26,63
1538.42,75,11,23
306.62,121,19,24
405.82,520,4,24
22.66,22,88,209
77.12,64,0,230
284.38,497,49,107
92.02,13,8,199
19.18,11,43,82
75.42,66,24,161
30.84,12,77,92
220.16,40,185,203
18.28,19,19,65
2153.58,508,16,52
18.08,14,26,65
38.9,28,67,72
17.42,12,116,200
90.62,167,73,78
179.32,132,107,211
3413.06,7211,201,241
1126.98,2032,0,205
119.78,15,30,215
31.32,14,88,211
88.08,44,174,205
31.06,11,85,199
135.8,55,4,26
70.72,20,2,168
56.22,15,18,224
58.54,24,210,211
269.04,50,3,236
68.24,22,3,92
26.1,11,60,237
92.78,66,60,201
72.46,29,15,90
64.08,19,47,137
90.66,16,40,129
43.02,14,7,168
79.56,129,161,244
18.24,14,34,231
155.66,114,1,210
46.04,39,12,91
55.64,13,5,67
52.76,32,73,244
22.22,15,97,159
26.72,12,24,46
30.12,35,220,241
77.28,101,29,42
19.1,18,54,226
72.66,35,35,200
39.16,14,132,139
807.74,2516,24,83
36.4,45,52,185
682.46,401,7,202
67.72,53,5,231
23.48,26,29,223
40.22,13,114,136
97.56,59,20,38
21.96,25,91,157
231.64,27,6,233
136.34,17,0,240
82.94,27,1,46
40.8,22,100,136
30.28,37,18,216
26.291666666666664,48,34,108
44.98,21,31,82
21.06,28,9,46
352.58,290,13,243
22.62,13,53,167
29.96,11,35,81
345.84,14,83,138
2343.14,6861,83,201
44.04,25,24,163
21.7,13,73,245
31.94,12,107,159
39.42,48,31,63
96.0,29,4,100
18.7,16,59,110
35.251999999999995,11,32,70
1453.82,1533,107,241
52.52,21,57,96
20.76,18,30,56
1040.26,1385,1,13
40.84,14,61,145
59.46,12,67,241
186.64,107,0,114
64.56,12,19,98
201.9,42,3,225
35.08,51,0,216
105.7,110,15,227
347.28,350,5,40
1280.72,3495,12,241
100.22,85,14,33
50.66,13,34,94
34.86,18,29,157
25.64,48,16,105
21.14,17,16,43
46.28,43,4,46
597.56,648,5,22
59.42,18,7,144
64.18,41,78,209
29.68,11,95,161
355.72,40,1,245
37.6,28,22,110
128.26,17,83,216
176.04,818,7,18
26.58,14,22,245
70.28,31,41,241
649.84,20,5,138
16.16,20,54,89
50.88,45,18,221
47.52,85,7,52
89.58,50,2,97
147.08,136,188,241
137.06,12,5,208
49.52,29,42,161
44.5,26,11,64
1021.3,69,23,132
259.16,28,233,241
91.4,25,10,22
34.92,37,5,220
1109.52,1251,6,14
77.1,53,15,41
59.18,37,144,201
22.76,23,76,103
635.26,315,13,18
409.1,982,13,132
546.26,228,5,211
18.06,17,35,48
177.0,22,201,206
132.8,126,50,205
228.24,71,63,215
34.36,32,40,214
31.86,13,3,55
103.2,73,19,34
475.28,172,4,8
292.76,30,23,73
325.04,167,210,241
34.86,14,220,243
48.24,22,9,35
25.42,41,26,46
269.58,194,17,24
150.58,218,205,243
24.56,11,91,226
398.42,1646,7,11
80.8,80,33,132
198.28,24,84,204
31.0,23,34,89
1714.0,234,23,201
37.66,13,42,245
76.4,94,185,210
462.46,18,20,218
1518.84,3820,9,83
36.69,35,26,80
82.24,60,14,161
48.4,29,21,112
15.66,11,2,37
178.3,51,13,84
848.0,2999,12,83
56.16,70,20,242
171.1,182,40,132
22.52,12,109,114
93.06,154,12,237
89.44,31,17,38
192.22,241,21,241
33.44,11,40,45
1921.36,3082,5,15
83.06,83,59,63
25.42,13,103,159
70.52,73,13,214
29.02,26,32,146
20.94,12,32,125
36.02,23,54,132
386.68,50,94,201
65.56,21,19,38
23.54,15,49,230
22.5,19,20,245
85.68,149,39,83
59.52,67,15,110
236.58,88,38,132
46.88,48,22,243
36.14,32,45,185
38.72,29,15,137
30.08,21,40,59
56.58,57,18,210
79.72,27,130,185
48.72,66,5,110
32.54,26,53,216
1861.74,2974,1,2
385.56,86,8,19
90.04,28,200,218
80.94,104,63,214
127.18,84,34,40
17.9,12,80,230
74.34,46,7,118
20.58,22,97,185
86.52,69,96,211
22.62,13,80,236
470.86,1693,9,24
26.44,18,50,54
18.32,12,108,226
72.4,18,8,118
87.44,14,13,224
118.42,26,232,241
69.84,32,21,33
195.02,172,0,39
37.24,49,24,114
100.54,21,132,233
170.84,153,5,77
25.44,41,24,31
21.24,12,92,226
363.5,581,2,30
114.34,117,24,38
115.12,199,8,22
178.76,206,243,244
315.32,687,11,49
32.26,11,205,226
740.0,1255,1,49
89.78,113,205,242
73.84,27,12,35
27.84,48,30,209
76.22,74,11,36
17.73166666666667,12,38,223
