pre_flow,true_flow,src_ids,dst_ids
1179.6666666666667,2091.0,11,14
18.166666666666668,15.0,15,131
52.03333333333333,38.0,25,50
94.8,99.0,3,91
25.49814814814815,30.0,204,214
23.916666666666668,30.0,124,201
113.625,96.0,63,89
17.272727272727273,12.0,110,210
133.1,112.0,4,42
23.25017316017316,15.0,112,118
18.139543481769024,16.0,22,113
19.435261544011546,21.0,64,245
124.13333333333334,102.0,12,244
70.36666666666666,51.0,33,107
21.75,12.0,161,209
173.5,159.0,12,33
265.73333333333335,188.0,33,200
25.14440476190476,13.0,7,68
22.37154266648384,16.0,11,137
45.2,46.0,112,243
30.863916475681176,29.0,30,31
14.066518871479396,13.0,21,138
92.2,182.0,18,19
18.383333333333333,15.0,53,55
39.72896713615023,27.0,131,138
581.7,754.0,4,6
18.767014444776592,13.0,11,113
22.033650793650793,28.0,15,144
221.21666666666667,17.0,115,200
50.06666666666667,79.0,23,107
711.3666666666667,860.0,12,205
1280.5666666666666,1074.0,1,132
38.86666666666667,48.0,2,231
590.2333333333333,494.0,15,243
42.46388888888888,67.0,34,204
112.13333333333334,93.0,24,209
43.233333333333334,29.0,26,33
280.43333333333334,69.0,23,24
25.64,22.0,27,88
21.11686406186406,38.0,185,226
19.533333333333335,42.0,18,48
26.545061728395062,15.0,107,230
29.833333333333332,43.0,161,202
24.596685222672065,39.0,9,233
14.00951951951952,14.0,54,100
17.82717171717172,20.0,96,163
30.153068783068782,20.0,49,110
30.203131313131315,13.0,3,168
18.883155207338305,16.0,76,230
51.63333333333333,45.0,9,60
114.06666666666666,119.0,20,136
20.469133774722014,14.0,26,105
34.711111111111116,36.0,133,241
28.837484737484736,32.0,76,91
2764.4333333333334,2299.0,3,13
16.141571635388598,17.0,209,218
20.259259259259256,14.0,38,108
22.665244708994706,21.0,42,188
33.74648148148148,39.0,136,214
811.9666666666667,548.0,83,243
24.6,14.0,47,112
616.1,446.0,7,22
575.4,830.0,30,201
16.038748982498984,14.0,42,234
48.738888888888894,61.0,3,245
23.48974388321637,15.0,29,118
22.8967365967366,17.0,93,214
25.03148148148148,15.0,18,86
119.2,130.0,25,200
79.53333333333333,50.0,45,63
20.810416666666665,22.0,2,58
26.47897435897436,16.0,24,103
39.220238095238095,27.0,19,47
17.3,11.0,36,77
34.733333333333334,30.0,57,205
846.2,722.0,15,185
23.31378968253968,23.0,3,156
21.466666666666665,11.0,83,131
128.46666666666667,133.0,24,27
275.6666666666667,258.0,2,26
296.8666666666667,302.0,12,34
25.906159420289853,17.0,73,157
82.46666666666667,89.0,2,28
32.06666666666667,30.0,137,241
15.992335300391566,15.0,24,152
23.410238262769223,22.0,9,137
3496.8,4615.0,0,1
21.350185185185182,15.0,2,170
308.73333333333335,264.0,5,51
302.5,311.0,8,49
22.766666666666666,12.0,16,243
36.99444444444444,28.0,58,71
39.9,41.0,163,241
27.98764285714286,24.0,63,66
23.42334073029797,48.0,19,215
45.17112010796221,64.0,46,64
54.333333333333336,45.0,17,27
23.71111111111111,11.0,51,52
80.96666666666667,56.0,51,202
123.06666666666666,138.0,73,136
3601.5666666666666,3533.0,83,200
543.5333333333333,620.0,49,73
21.5,14.0,52,78
16.98888888888889,14.0,16,37
442.76666666666665,466.0,132,185
18.43968253968254,24.0,31,97
31.06416666666667,14.0,1,118
