pre_flow,true_flow,src_ids,dst_ids
1425.84,2091.0,11,14
23.385714285714286,15.0,15,131
63.16,38.0,25,50
91.84,99.0,3,91
37.68,30.0,204,214
102.8,30.0,124,201
127.08,96.0,63,89
17.48894736842105,12.0,110,210
287.52,112.0,4,42
30.251877152558812,15.0,112,118
21.42,16.0,22,113
15.464432446907272,21.0,64,245
110.3,102.0,12,244
103.24461538461539,51.0,33,107
126.0,12.0,161,209
218.18,159.0,12,33
231.92,188.0,33,200
18.557142857142857,13.0,7,68
34.85535145556198,16.0,11,137
42.72,46.0,112,243
14.834135649516723,29.0,30,31
31.84,13.0,21,138
114.24222222222222,182.0,18,19
14.133333333333333,15.0,53,55
87.74,27.0,131,138
797.68,754.0,4,6
25.494358974358974,13.0,11,113
55.18196964891363,28.0,15,144
913.8,17.0,115,200
43.98,79.0,23,107
626.74,860.0,12,205
976.5,1074.0,1,132
103.94972972972974,48.0,2,231
463.68,494.0,15,243
59.98799999999999,67.0,34,204
120.06,93.0,24,209
35.17,29.0,26,33
77.1,69.0,23,24
27.650769230769228,22.0,27,88
23.606190476190474,38.0,185,226
117.9,42.0,18,48
23.32272661396574,15.0,107,230
488.84,43.0,161,202
37.73866666666666,39.0,9,233
19.28933333333333,14.0,54,100
23.25,20.0,96,163
22.79014083913135,20.0,49,110
32.683142857142855,13.0,3,168
44.13710278369721,16.0,76,230
43.72643478260869,45.0,9,60
103.88533333333334,119.0,20,136
23.579444444444444,14.0,26,105
296.32,36.0,133,241
48.43,32.0,76,91
1879.38,2299.0,3,13
16.62,17.0,209,218
23.50181818181818,14.0,38,108
55.54,21.0,42,188
35.02,39.0,136,214
504.1,548.0,83,243
25.82,14.0,47,112
515.62,446.0,7,22
440.42,830.0,30,201
29.28,14.0,42,234
77.9,61.0,3,245
24.9976979860973,15.0,29,118
56.1,17.0,93,214
64.095,15.0,18,86
392.54,130.0,25,200
180.4,50.0,45,63
19.54,22.0,2,58
56.94,16.0,24,103
42.34666666666667,27.0,19,47
22.038888888888888,11.0,36,77
154.34,30.0,57,205
683.5,722.0,15,185
49.99402380952382,23.0,3,156
24.78,11.0,83,131
133.08,133.0,24,27
191.5,258.0,2,26
423.135,302.0,12,34
27.58,17.0,73,157
82.7,89.0,2,28
17.66,30.0,137,241
28.515777777777775,15.0,24,152
24.957722351856656,22.0,9,137
700.76,4615.0,0,1
26.662333333333336,15.0,2,170
285.02,264.0,5,51
